Question,P1,P2,P3,P4,P5,P6
1,3,2,4,3,3,4
2,4,2,4,4,3,4
3,4,2,3,4,3,3
4,4,3,4,4,3,4
5,4,3,3,4,3,3
6,3,2,3,3,3,3
7,4,3,3,4,3,3
8,4,2,3,4,3,3
9,4,3,3,4,3,3
10,4,3,3,4,3,3
